distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,n_brakes,speed,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3,target
30.467,2575,18.0,7.0,8.0,3.0,6.0,0.0,6.0,0.0,10.0,4.0,6.0,0.0,0.671728,20.096537,0.0,0.32531,9.0,105.0,24.0,21.0,12.0,17.0,19.0,15.0,11.0,10.0,72.0,40.62735849056604,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,56.0,60.0,52.0,23.0,4.0,10.0,9.0,0.0,0.0,7.0,13.0,15.0,9.0,0
28.9624,1920,19.0,8.0,9.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,9.267669,0.0,0.0,3.0,98.0,24.0,27.0,31.0,20.0,5.0,5.0,3.0,7.0,42.0,47.898480662983424,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,32.0,36.0,11.0,3.0,5.0,4.0,0.0,0.0,8.0,14.0,25.0,20.0,0
30.5771,2658,24.0,11.0,12.0,1.0,6.0,1.0,5.0,0.0,8.0,5.0,3.0,0.0,0.52026,3.397668,0.0,0.0,6.0,53.0,18.0,13.0,5.0,6.0,6.0,4.0,9.0,10.0,89.0,35.620665580637656,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,72.0,49.0,11.0,3.0,10.0,9.0,0.0,0.0,7.0,11.0,5.0,3.0,0
1.32532,254,6.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.162886,0.162886,0.0,0.0,1.0,18.0,5.0,0.0,0.0,1.0,3.0,4.0,5.0,5.0,10.0,20.84705882352941,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,5.0,6.0,2.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1
8.21819,796,7.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.109373,0.0,3.0,38.0,7.0,10.0,7.0,11.0,10.0,0.0,0.0,0.0,17.0,37.96203623813633,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,17.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,6.0,3.0,0
1.70245,287,7.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.626506024096383,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10.3018,835,14.0,4.0,9.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.166885,0.166885,0.0,0.0,3.0,17.0,5.0,4.0,2.0,0.0,1.0,3.0,4.0,3.0,25.0,39.26767015706806,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,17.0,8.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,6.0,5.0,0.0,0
69.7448,3401,11.0,3.0,8.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,6.0,0.0,0.0,40.573452,0.665726,0.0,6.0,124.0,30.0,37.0,29.0,18.0,14.0,8.0,8.0,10.0,55.0,59.07898351648352,0.0,12.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,55.0,52.0,34.0,13.0,5.0,4.0,0.0,0.0,13.0,24.0,28.0,20.0,0
7.6054,827,3.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,14.0,16.0,4.0,2.0,2.0,2.0,1.0,0.0,18.0,41.59966638865721,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,18.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,0
64.679,3123,17.0,5.0,11.0,1.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.749299,0.104406,0.0,2.0,46.0,11.0,14.0,11.0,6.0,6.0,3.0,2.0,4.0,48.0,57.24898602974313,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,54.0,70.0,37.0,5.0,2.0,1.0,0.0,0.0,7.0,13.0,11.0,5.0,0
