distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,n_ignition_on,n_ignition_off,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,light_mode,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,zero_speed_time,n_zero_speed,n_high_beam,n_low_beam,n_wipers,n_signal_right,n_signal_left,n_brakes,speed,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3
0.9597931875293699,0.41513869299482836,0.038461538461538464,0.0,0.03896103896103896,0.0,0.830188679245283,0.2222222222222222,0.88659793814433,0.0,0.42391304347826086,0.2222222222222222,0.3804347826086956,0.0,,,0.0,1.0,0.0739958604575219,0.0,0.1276595744680851,0.0,0.4743589743589744,0.4166666666666667,0.390625,0.5555555555555556,0.5909090909090909,0.3333333333333333,0.25,0.15384615384615385,0.7000000000000001,0.4251715130200957,0.20754716981132074,0.10526315789473684,0.0,0.0,0.211864406779661,0.16326530612244897,0.22333333333333336,0.9716440612011905,0.0,0.8333333333333333,0.2857142857142857,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9113924050632912,0.3135593220338983,0.673469387755102,0.7183098591549296,0.7692307692307693,0.33333333333333337,0.3333333333333333,1.0,0.0,0.33333333333333337,0.46808510638297873,0.5,0.42857142857142855
0.20659343962104673,0.13269863657733896,0.1282051282051282,0.0,0.12987012987012989,0.0,0.11320754716981132,0.2222222222222222,0.10309278350515463,0.0,0.25,0.1111111111111111,0.22826086956521738,0.0,,,0.0,0.08283726646781991,0.07366242346064159,0.0,0.02127659574468085,0.0,0.08974358974358976,0.14583333333333331,0.109375,0.06349206349206349,0.09090909090909091,0.06666666666666667,0.125,0.07692307692307693,0.0,0.13670910418375642,0.11320754716981132,0.0,0.0,0.0,0.01694915254237288,0.47619047619047616,0.09333333333333334,0.618638834439619,0.0,0.08333333333333333,0.2857142857142857,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.10126582278481013,0.09322033898305085,0.09183673469387754,0.09859154929577466,0.15384615384615385,0.0,0.0,0.0,0.0,0.33333333333333337,0.0851063829787234,0.06896551724137931,0.09523809523809523
0.00830418362375396,0.017277856135401976,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009948772335787136,0.018867924528301886,0.0,0.0,0.0,0.5169491525423728,0.05442176870748299,0.02,0.3679488909741724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0379746835443038,0.025423728813559324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.02127659574468085,0.0,0.0
0.01959076713537141,0.027268453220498354,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015660413956476844,0.11320754716981132,0.0,0.0,0.0,0.5,0.1292517006802721,0.04,0.32990450687221556,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.06329113924050633,0.0423728813559322,0.02040816326530612,0.014084507042253521,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333336,0.02127659574468085,0.0,0.0
0.014834197760988262,0.01774800188058298,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021367521367521368,0.0625,0.046875,0.015873015873015872,0.022727272727272728,0.0,0.0,0.0,0.0,0.01721844414640102,0.018867924528301886,0.0,0.0,0.0,0.19491525423728814,0.06802721088435373,0.02666666666666667,0.4090028958223599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0425531914893617,0.034482758620689655,0.023809523809523808
0.04165426051068738,0.029031499764927124,0.05128205128205128,0.0,0.05194805194805195,0.0,0.08490566037735849,0.1111111111111111,0.08247422680412371,0.0,0.09782608695652173,0.16666666666666666,0.06521739130434782,0.0,,,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.0811965811965812,0.0625,0.078125,0.06349206349206349,0.11363636363636365,0.13333333333333333,0.041666666666666664,0.0,0.0,0.002379799333124729,0.03773584905660377,0.0,0.0,0.0,0.00847457627118644,0.09523809523809523,0.05,0.6029373098683295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06329113924050633,0.05084745762711865,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06382978723404255,0.06896551724137931,0.047619047619047616
0.032838497873825326,0.024447578749412315,0.038461538461538464,0.0,0.03896103896103896,0.0,0.03773584905660377,0.0,0.041237113402061855,0.0,0.05434782608695652,0.0,0.05434782608695652,0.0,,,0.0,0.01269235241531596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031632253232941255,0.018867924528301886,0.0,0.0,1.0,0.00847457627118644,0.21768707482993196,0.03666666666666667,0.5193879644571098,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759493670886076,0.05084745762711865,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006365071066665941,0.03385049365303244,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021846109553442595,0.035731076633756464,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012445681838812409,0.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.09587158519373437,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0379746835443038,0.01694915254237288,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
0.06454019340685405,0.09156088387400094,,,,,,,,,,,,,,,0.0,0.0034078878968928504,0.03490915199477507,0.0,0.23404255319148937,0.0,0.1452991452991453,0.14583333333333331,0.203125,0.19047619047619047,0.13636363636363635,0.06666666666666667,0.041666666666666664,0.0,0.0,0.07952705621378431,0.24528301886792453,0.0,0.0,1.0,0.025423728813559324,0.027210884353741496,0.0,0.4660528142558667,0.0,0.08333333333333333,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06329113924050633,0.0423728813559322,0.0510204081632653,0.056338028169014086,0.07692307692307693,0.0,0.0,0.0,0.0,0.13333333333333336,0.2127659574468085,0.20689655172413793,0.09523809523809523
