trip_start,trip_end,distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,n_ignition_on,n_ignition_off,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,light_mode,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,zero_speed_time,n_zero_speed,n_high_beam,n_low_beam,n_wipers,n_signal_right,n_signal_left,n_brakes,speed,over_speed_limit,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3
2021-04-21T09:58:28+00:00,2021-04-21T10:11:37+00:00,4.81038,789,,,,,,,,,,,,,,,0.0,0.196625,0.096424,0.0,11.0,day,34.0,8.0,13.0,12.0,6.0,2.0,1.0,0.0,0.0,661.148591,13.0,0.0,0.0,1.0,3.0,4.0,0.0,31.36386768447837,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,10.0,12.0,4.0
2021-04-21T09:59:11+00:00,2021-04-21T10:00:01+00:00,0.123714,50,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.857051,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.04,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-21T10:01:13+00:00,2021-04-21T10:01:27+00:00,0.0293015,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-21T10:02:32+00:00,2021-04-21T10:05:26+00:00,1.64904,174,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,,,0.0,0.0,0.0,0.0,3.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,14.0,33.59815242494226,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-21T11:10:39+00:00,2021-04-21T11:34:51+00:00,19.3023,1452,4.0,0.0,4.0,0.0,10.0,1.0,9.0,0.0,6.0,0.0,6.0,0.0,,,0.0,7.273988,1.61504,0.0,5.0,day,74.0,8.0,14.0,15.0,10.0,10.0,9.0,9.0,7.0,1387.856333,12.0,0.0,0.0,0.0,8.0,11.0,0.0,50.12445520581114,,0.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,36.0,24.0,11.0,4.0,1.0,0.0,0.0,0.0,6.0,10.0,12.0,9.0
2021-04-21T13:09:17+00:00,2021-04-21T13:11:45+00:00,0.0111247,148,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-21T13:18:36+00:00,2021-04-21T13:20:12+00:00,0.000702992,96,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2021-04-21T13:26:17+00:00,2021-04-21T13:30:52+00:00,0.0,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21T13:41:19+00:00,2021-04-21T13:41:56+00:00,0.0991015,37,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.605263157894737,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-21T14:10:28+00:00,2021-04-21T15:10:17+00:00,48.6292,3589,20.0,2.0,18.0,0.0,24.0,3.0,21.0,0.0,14.0,1.0,13.0,0.0,,,0.0,0.83729,0.104341,0.0,1.0,day,66.0,26.0,30.0,15.0,10.0,8.0,0.0,0.0,3.0,3460.996083,33.0,0.0,0.0,0.0,13.0,10.0,83.0,48.389879240943074,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,64.0,77.0,89.0,40.0,1.0,2.0,1.0,0.0,0.0,6.0,8.0,19.0,16.0
